sample	FusionName	celltype_final	tot_cells_w_fusion	frac_fusion_cells	LeftBreakpoint	RightBreakpoint	Arriba	ctat.LR.fusion	FusionInspector	STAR.Fusion	annots
Patient1_Tum	SMG7--CH507-513H4.1	HGSOC	26	1	chr1:183472649:+	chr21:8222961:+	NA	26	NA	NA	SMG7--CH507-513H4.1:INTERCHROMOSOMAL[chr1--chr21];;(recip)CH507-513H4.1--SMG7:INTERCHROMOSOMAL[chr21--chr1]
Patient1_Tum	RAPGEF5--AGMO	HGSOC	6	1	chr7:22125604:-	chr7:15201359:-	NA	5	3	1	RAPGEF5--AGMO:INTRACHROMOSOMAL[chr7:6.56Mb];;(recip)AGMO--RAPGEF5:INTRACHROMOSOMAL[chr7:6.56Mb]
Patient1_Tum	GS1-279B7.2--GNG4	HGSOC	5	1	chr1:185318277:+	chr1:235583848:-	NA	5	NA	NA	GS1-279B7.2--GNG4:INTRACHROMOSOMAL[chr1:50.23Mb];;(recip)GNG4--GS1-279B7.2:INTRACHROMOSOMAL[chr1:50.23Mb]
Patient1_Tum	NTN1--CDRT15P2	HGSOC	5	1	chr17:9023391:+	chr17:15765108:+	NA	5	NA	NA	NTN1--CDRT15P2:INTRACHROMOSOMAL[chr17:6.52Mb];;(recip)CDRT15P2--NTN1:INTRACHROMOSOMAL[chr17:6.52Mb]
Patient2_Tum	IGF2BP2--TESPA1	HGSOC	176	0.98876404494382	chr3:185696612:-	chr12:54950390:-	92	174	138	16	IGF2BP2--TESPA1:INTERCHROMOSOMAL[chr3--chr12];;(recip)TESPA1--IGF2BP2:INTERCHROMOSOMAL[chr12--chr3]
Patient2_Tum	IGF2BP2--TESPA1	HGSOC	176	0.98876404494382	chr3:185823153:-	chr12:54950390:-	6	52	13	5	IGF2BP2--TESPA1:INTERCHROMOSOMAL[chr3--chr12];;(recip)TESPA1--IGF2BP2:INTERCHROMOSOMAL[chr12--chr3]
Patient2_Tum	IGF2BP2--TESPA1	HGSOC	176	0.98876404494382	chr3:185824783:-	chr12:54950390:-	4	17	6	5	IGF2BP2--TESPA1:INTERCHROMOSOMAL[chr3--chr12];;(recip)TESPA1--IGF2BP2:INTERCHROMOSOMAL[chr12--chr3]
Patient2_Tum	IGF2BP2--TESPA1	HGSOC	176	0.98876404494382	chr3:185698299:-	chr12:54950390:-	1	5	1	1	IGF2BP2--TESPA1:INTERCHROMOSOMAL[chr3--chr12];;(recip)TESPA1--IGF2BP2:INTERCHROMOSOMAL[chr12--chr3]
Patient2_Tum	IGF2BP2--TESPA1	HGSOC	176	0.98876404494382	chr3:185696609:-	chr12:54950390:-	NA	NA	3	NA	IGF2BP2--TESPA1:INTERCHROMOSOMAL[chr3--chr12];;(recip)TESPA1--IGF2BP2:INTERCHROMOSOMAL[chr12--chr3]
Patient2_Tum	PSMB7--SCAI	HGSOC	52	0.981132075471698	chr9:124405317:-	chr9:125056007:-	2	28	2	2	PSMB7--SCAI:INTRACHROMOSOMAL[chr9:0.53Mb];;(recip)SCAI--PSMB7:[Klijn_CellLines,DepMap2023];INTRACHROMOSOMAL[chr9:0.53Mb]
Patient2_Tum	PSMB7--SCAI	HGSOC	52	0.981132075471698	chr9:124405317:-	chr9:125066058:-	NA	26	3	2	PSMB7--SCAI:INTRACHROMOSOMAL[chr9:0.53Mb];;(recip)SCAI--PSMB7:[Klijn_CellLines,DepMap2023];INTRACHROMOSOMAL[chr9:0.53Mb]
Patient2_Tum	PSMB7--SCAI	HGSOC	52	0.981132075471698	chr9:124412352:-	chr9:125056007:-	NA	9	2	1	PSMB7--SCAI:INTRACHROMOSOMAL[chr9:0.53Mb];;(recip)SCAI--PSMB7:[Klijn_CellLines,DepMap2023];INTRACHROMOSOMAL[chr9:0.53Mb]
Patient2_Tum	PSMB7--SCAI	HGSOC	52	0.981132075471698	chr9:124405317:-	chr9:125029739:-	NA	2	NA	NA	PSMB7--SCAI:INTRACHROMOSOMAL[chr9:0.53Mb];;(recip)SCAI--PSMB7:[Klijn_CellLines,DepMap2023];INTRACHROMOSOMAL[chr9:0.53Mb]
Patient2_Tum	SRSF7--DHX57	HGSOC	36	0.972972972972973	chr2:38746144:-	chr2:38815655:-	NA	35	3	2	SRSF7--DHX57:[DepMap2023,CCLE_StarF2019];INTRACHROMOSOMAL[chr2:0.05Mb];LOCAL_REARRANGEMENT:-:[46235];;(recip)DHX57--SRSF7:INTRACHROMOSOMAL[chr2:0.05Mb];NEIGHBORS[46235]
Patient2_Tum	SRSF7--DHX57	HGSOC	36	0.972972972972973	chr2:38746144:-	chr2:38816612:-	NA	2	NA	NA	SRSF7--DHX57:[DepMap2023,CCLE_StarF2019];INTRACHROMOSOMAL[chr2:0.05Mb];LOCAL_REARRANGEMENT:-:[46235];;(recip)DHX57--SRSF7:INTRACHROMOSOMAL[chr2:0.05Mb];NEIGHBORS[46235]
Patient2_Tum	MIR4435-1HG--DARS	HGSOC	21	1	chr2:111494885:-	chr2:135943480:-	NA	20	1	NA	MIR4435-1HG--DARS:INTRACHROMOSOMAL[chr2:24.41Mb];;(recip)DARS--MIR4435-1HG:INTRACHROMOSOMAL[chr2:24.41Mb]
Patient2_Tum	MIR4435-1HG--DARS	HGSOC	21	1	chr2:111494881:-	chr2:135911405:-	NA	1	NA	NA	MIR4435-1HG--DARS:INTRACHROMOSOMAL[chr2:24.41Mb];;(recip)DARS--MIR4435-1HG:INTRACHROMOSOMAL[chr2:24.41Mb]
Patient2_Tum	MIR4435-1HG--DARS	HGSOC	21	1	chr2:111494885:-	chr2:135933990:-	NA	1	NA	NA	MIR4435-1HG--DARS:INTRACHROMOSOMAL[chr2:24.41Mb];;(recip)DARS--MIR4435-1HG:INTRACHROMOSOMAL[chr2:24.41Mb]
